emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,timestamp
fear,0.47,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.77,0.329,FLUCTUATING,13,2.6,CENTER,1.0,0,"{'yaw': -2.34, 'pitch': 4.65, 'roll': -0.13}",sad,0.3433333333333333,medium,0.4233,0.0,False,MEDIUM,0.351,35.6,27.6,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 8.8, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Negative emotional state,2026-07-07 17:57:49
sad,0.4,sad,sad,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.71,0.472,FLUCTUATING,13,2.6,CENTER,1.0,0,"{'yaw': 1.7, 'pitch': 3.92, 'roll': -0.18}",sad,0.3433333333333333,medium,0.4233,0.0,True,MEDIUM,0.351,35.6,27.8,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Stable emotional condition,2026-07-07 17:57:50
neutral,0.53,neutral,neutral,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.71,0.371,FLUCTUATING,13,2.58,CENTER,1.0,0,"{'yaw': -2.29, 'pitch': 4.6, 'roll': -0.14}",sad,0.3433333333333333,medium,0.4233,0.0,False,MEDIUM,0.351,23.6,27.9,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Stable emotional condition,2026-07-07 17:57:51
fear,0.74,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.88,0.518,FLUCTUATING,13,2.49,CENTER,1.0,0,"{'yaw': -3.32, 'pitch': 2.88, 'roll': -0.14}",sad,0.3433333333333333,medium,0.4233,0.0,False,MEDIUM,0.351,35.6,27.9,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:57:51
happy,0.93,happy,happy,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.81,0.651,FLUCTUATING,13,2.5,CENTER,1.0,0,"{'yaw': -2.86, 'pitch': 3.72, 'roll': -0.13}",sad,0.3433333333333333,medium,0.4233,0.0,False,MEDIUM,0.351,20.6,28.2,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:57:52
sad,0.72,sad,sad,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.77,0.655,FLUCTUATING,13,2.5,CENTER,1.0,0,"{'yaw': -2.04, 'pitch': 4.51, 'roll': -0.13}",sad,0.39,medium,0.4733,0.0001,True,MEDIUM,0.339,35.6,28.3,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:57:54
sad,0.94,sad,sad,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.71,0.765,FLUCTUATING,13,2.41,CENTER,1.0,0,"{'yaw': -2.61, 'pitch': 2.72, 'roll': -0.12}",sad,0.39,medium,0.4733,0.0001,True,MEDIUM,0.339,35.5,28.2,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:57:55
sad,0.4,sad,sad,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.79,0.495,FLUCTUATING,14,2.45,CENTER,1.0,0,"{'yaw': -3.55, 'pitch': 4.82, 'roll': -0.15}",sad,0.39,medium,0.4733,0.0001,True,MEDIUM,0.339,35.9,28.1,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:57:55
surprise,0.72,surprise,surprise,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.86,0.504,UNSTABLE,14,2.37,CENTER,1.0,0,"{'yaw': -3.74, 'pitch': 3.91, 'roll': -0.22}",sad,0.39,medium,0.4733,0.0001,False,MEDIUM,0.339,20.9,28.1,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:57:56
fear,0.9,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.78,0.63,UNSTABLE,14,2.39,CENTER,1.0,0,"{'yaw': -2.35, 'pitch': 5.31, 'roll': -0.12}",sad,0.39,medium,0.4733,0.0001,False,MEDIUM,0.339,35.9,28.0,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:57:57
neutral,1.0,neutral,neutral,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.69,0.7,UNSTABLE,14,2.26,CENTER,1.0,0,"{'yaw': -3.99, 'pitch': 4.74, 'roll': -0.16}",sad,0.39,medium,0.4733,0.0001,False,MEDIUM,0.339,23.8,28.2,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:57:58
happy,0.52,happy,happy,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.79,0.364,UNSTABLE,14,2.29,CENTER,1.0,0,"{'yaw': -0.88, 'pitch': 2.66, 'roll': -0.12}",sad,0.39,medium,0.4733,0.0001,False,MEDIUM,0.339,20.8,28.3,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:57:59
surprise,0.44,surprise,surprise,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.7,0.308,UNSTABLE,14,2.2,CENTER,1.0,0,"{'yaw': -0.89, 'pitch': 4.65, 'roll': -0.16}",sad,0.39,medium,0.4733,0.0001,False,MEDIUM,0.339,20.8,28.5,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:00
fear,0.9,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.69,0.63,UNSTABLE,14,2.2,CENTER,1.0,0,"{'yaw': -0.9, 'pitch': 4.49, 'roll': -0.12}",sad,0.39,medium,0.4733,0.0001,False,MEDIUM,0.339,35.8,28.7,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 17:58:00
neutral,0.91,neutral,neutral,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.77,0.637,UNSTABLE,14,2.15,CENTER,1.0,0,"{'yaw': 0.2, 'pitch': 3.22, 'roll': -0.16}",sad,0.39,medium,0.4733,0.0001,False,MEDIUM,0.339,23.7,28.8,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:02
fear,0.88,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.86,0.616,UNSTABLE,14,2.18,CENTER,1.0,0,"{'yaw': -0.3, 'pitch': 5.05, 'roll': -0.12}",sad,0.36333333333333334,medium,0.4133,0.0,False,MEDIUM,0.354,35.8,29.1,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 17:58:04
fear,0.96,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.86,0.672,UNSTABLE,14,2.16,CENTER,1.0,0,"{'yaw': -1.01, 'pitch': 3.98, 'roll': -0.14}",sad,0.36333333333333334,medium,0.4133,0.0,False,MEDIUM,0.354,35.7,29.0,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 17:58:05
fear,0.56,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.86,0.392,FLUCTUATING,14,2.18,CENTER,1.0,0,"{'yaw': -2.78, 'pitch': 3.18, 'roll': -0.15}",sad,0.36333333333333334,medium,0.4133,0.0,False,MEDIUM,0.354,35.8,28.8,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 17:58:06
fear,0.99,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.86,0.693,FLUCTUATING,14,2.15,CENTER,1.0,0,"{'yaw': -1.88, 'pitch': 4.6, 'roll': -0.17}",sad,0.36333333333333334,medium,0.4133,0.0,False,MEDIUM,0.354,35.7,28.6,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 17:58:06
neutral,0.58,neutral,neutral,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.69,0.406,FLUCTUATING,14,2.16,CENTER,1.0,0,"{'yaw': -2.97, 'pitch': 4.66, 'roll': -0.1}",sad,0.36333333333333334,medium,0.4133,0.0,False,MEDIUM,0.354,23.7,28.5,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:07
neutral,1.0,neutral,neutral,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.77,0.7,FLUCTUATING,15,2.15,CENTER,1.0,0,"{'yaw': -3.2, 'pitch': 3.87, 'roll': -0.18}",sad,0.36333333333333334,medium,0.4133,0.0,False,MEDIUM,0.354,24.1,28.3,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:08
fear,0.97,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.7,0.679,FLUCTUATING,15,2.17,CENTER,1.0,0,"{'yaw': -0.6, 'pitch': 2.83, 'roll': -0.16}",sad,0.36333333333333334,medium,0.4133,0.0,False,MEDIUM,0.354,36.1,28.3,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 17:58:09
fear,0.71,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.77,0.497,STABLE,15,2.33,CENTER,1.0,0,"{'yaw': 2.39, 'pitch': 4.79, 'roll': -0.15}",sad,0.36333333333333334,medium,0.4133,0.0,False,MEDIUM,0.354,36.2,28.2,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:10
sad,0.52,sad,sad,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.7,0.542,FLUCTUATING,15,2.29,CENTER,1.0,0,"{'yaw': -1.55, 'pitch': 4.23, 'roll': -0.11}",sad,0.36333333333333334,medium,0.4133,0.0,True,MEDIUM,0.354,36.1,28.3,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:11
fear,0.6,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.7,0.42,FLUCTUATING,15,2.28,CENTER,1.0,0,"{'yaw': -2.24, 'pitch': 3.94, 'roll': -0.15}",sad,0.36333333333333334,medium,0.4133,0.0,False,MEDIUM,0.354,36.1,28.3,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 17:58:11
sad,0.51,sad,sad,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.68,0.533,FLUCTUATING,15,2.32,CENTER,1.0,0,"{'yaw': -3.91, 'pitch': 4.0, 'roll': -0.09}",sad,0.3566666666666667,medium,0.4133,0.0,True,MEDIUM,0.354,36.2,28.6,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:58:13
happy,0.66,happy,happy,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.69,0.462,FLUCTUATING,15,2.29,CENTER,1.0,0,"{'yaw': -3.17, 'pitch': 3.27, 'roll': -0.13}",sad,0.3566666666666667,medium,0.4133,0.0,False,MEDIUM,0.354,21.1,29.0,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:13
neutral,0.96,neutral,neutral,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.69,0.672,FLUCTUATING,15,2.29,CENTER,1.0,0,"{'yaw': -2.01, 'pitch': 2.89, 'roll': -0.16}",sad,0.3566666666666667,medium,0.4133,0.0,False,MEDIUM,0.354,24.1,29.4,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:14
fear,0.92,fear,fear,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.7,0.644,FLUCTUATING,15,2.28,CENTER,1.0,0,"{'yaw': -1.7, 'pitch': 3.81, 'roll': -0.15}",sad,0.3566666666666667,medium,0.4133,0.0,False,MEDIUM,0.354,36.1,29.6,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 17:58:15
neutral,0.81,neutral,neutral,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.67,0.567,FLUCTUATING,15,2.29,CENTER,1.0,0,"{'yaw': -0.52, 'pitch': 4.26, 'roll': -0.16}",sad,0.3566666666666667,medium,0.4133,0.0,False,MEDIUM,0.354,24.1,29.8,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:15
surprise,0.58,surprise,surprise,MEDIUM,MEDIUM,LOW,LOW,FOCUSED,0.67,0.406,UNSTABLE,15,2.33,CENTER,1.0,0,"{'yaw': -3.9, 'pitch': 4.15, 'roll': -0.25}",sad,0.3566666666666667,medium,0.4133,0.0,False,MEDIUM,0.354,21.2,29.9,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:58:16
sad,0.97,sad,sad,MEDIUM,MEDIUM,MEDIUM,LOW,FOCUSED,0.61,0.763,UNSTABLE,15,2.22,CENTER,1.0,0,"{'yaw': -3.01, 'pitch': 2.98, 'roll': -0.15}",sad,0.3566666666666667,medium,0.4133,0.0,True,MEDIUM,0.354,36.1,29.9,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:17
sad,0.9,sad,sad,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.48,0.728,UNSTABLE,16,2.27,CENTER,1.0,0,"{'yaw': -3.4, 'pitch': 5.42, 'roll': -0.15}",sad,0.3566666666666667,medium,0.4133,0.0,True,HIGH,0.708,51.5,36.8,LOW,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:18
fear,0.89,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.55,0.623,UNSTABLE,16,2.33,CENTER,1.0,0,"{'yaw': -4.9, 'pitch': 4.66, 'roll': -0.23}",sad,0.3566666666666667,medium,0.4133,0.0,False,HIGH,0.708,51.5,40.9,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:18
neutral,0.98,neutral,neutral,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.7,0.686,UNSTABLE,16,2.32,CENTER,1.0,0,"{'yaw': -2.55, 'pitch': 4.03, 'roll': -0.19}",sad,0.3566666666666667,medium,0.4133,0.0,False,HIGH,0.708,39.5,43.4,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:58:19
sad,0.67,sad,sad,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.41,0.607,UNSTABLE,16,2.36,CENTER,1.0,0,"{'yaw': -3.83, 'pitch': 3.36, 'roll': -0.16}",sad,0.3433333333333333,medium,0.39,0.0,True,HIGH,0.719,51.5,45.1,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:58:20
fear,0.97,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.55,0.679,FLUCTUATING,17,2.32,CENTER,1.0,0,"{'yaw': -2.84, 'pitch': 4.01, 'roll': -0.13}",sad,0.3433333333333333,medium,0.39,0.0,False,HIGH,0.719,51.8,46.3,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.9, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:21
neutral,1.0,neutral,neutral,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.7,0.7,FLUCTUATING,17,2.29,CENTER,1.0,0,"{'yaw': -2.15, 'pitch': 3.58, 'roll': -0.16}",sad,0.3433333333333333,medium,0.39,0.0,False,HIGH,0.719,39.8,47.0,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.9, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:58:22
fear,0.74,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.55,0.518,FLUCTUATING,17,2.41,CENTER,1.0,0,"{'yaw': -3.89, 'pitch': 1.69, 'roll': -0.2}",sad,0.3433333333333333,medium,0.39,0.0,False,HIGH,0.719,51.9,47.4,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.9, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:22
fear,0.7,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.55,0.49,FLUCTUATING,17,2.48,CENTER,1.0,0,"{'yaw': -3.64, 'pitch': 1.76, 'roll': -0.18}",sad,0.3433333333333333,medium,0.39,0.0,False,HIGH,0.719,51.9,47.5,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:23
happy,0.94,happy,happy,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.7,0.658,FLUCTUATING,17,2.56,CENTER,1.0,0,"{'yaw': 1.38, 'pitch': 3.91, 'roll': -0.25}",sad,0.3433333333333333,medium,0.39,0.0,False,HIGH,0.719,36.9,47.6,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Stable emotional condition,2026-07-07 17:58:24
sad,0.98,sad,sad,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.48,0.762,FLUCTUATING,17,2.52,CENTER,1.0,0,"{'yaw': -1.68, 'pitch': 4.02, 'roll': -0.16}",sad,0.3433333333333333,medium,0.39,0.0,True,HIGH,0.719,51.9,47.6,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Stable emotional condition,2026-07-07 17:58:25
fear,0.88,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.48,0.616,FLUCTUATING,17,2.5,CENTER,1.0,0,"{'yaw': -2.96, 'pitch': 3.84, 'roll': -0.18}",sad,0.3433333333333333,medium,0.39,0.0,False,HIGH,0.719,51.9,47.6,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:26
fear,0.76,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.41,0.532,FLUCTUATING,17,2.49,CENTER,1.0,0,"{'yaw': -3.31, 'pitch': 4.06, 'roll': -0.13}",sad,0.3433333333333333,medium,0.39,0.0,False,HIGH,0.719,51.9,47.4,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:26
fear,0.95,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.49,0.665,FLUCTUATING,17,2.48,CENTER,1.0,0,"{'yaw': -4.08, 'pitch': 4.9, 'roll': -0.22}",sad,0.3433333333333333,medium,0.39,0.0,False,HIGH,0.719,51.9,47.0,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:27
fear,0.86,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.46,0.602,FLUCTUATING,17,2.41,CENTER,1.0,0,"{'yaw': -1.61, 'pitch': 4.26, 'roll': -0.14}",sad,0.36666666666666664,medium,0.3967,0.0,False,HIGH,0.716,51.9,46.8,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:29
sad,0.76,sad,sad,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.41,0.663,FLUCTUATING,17,2.4,CENTER,1.0,0,"{'yaw': -2.04, 'pitch': 3.01, 'roll': -0.14}",sad,0.36666666666666664,medium,0.3967,0.0,True,HIGH,0.716,51.9,46.9,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:58:29
neutral,0.5,neutral,neutral,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.63,0.35,FLUCTUATING,17,2.4,CENTER,1.0,0,"{'yaw': -1.77, 'pitch': 3.97, 'roll': -0.13}",sad,0.36666666666666664,medium,0.3967,0.0,False,HIGH,0.716,39.9,47.2,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:58:30
neutral,1.0,neutral,neutral,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.6,0.7,FLUCTUATING,17,2.4,CENTER,1.0,0,"{'yaw': -2.78, 'pitch': 3.04, 'roll': -0.14}",sad,0.36666666666666664,medium,0.3967,0.0,False,HIGH,0.716,39.9,47.2,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:58:31
fear,0.44,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.48,0.308,FLUCTUATING,17,2.43,CENTER,1.0,0,"{'yaw': -0.06, 'pitch': 3.54, 'roll': -0.11}",sad,0.36666666666666664,medium,0.3967,0.0,False,HIGH,0.716,51.9,47.3,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:32
fear,0.57,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.48,0.399,FLUCTUATING,17,2.47,CENTER,1.0,0,"{'yaw': -4.39, 'pitch': 3.82, 'roll': -0.15}",sad,0.36666666666666664,medium,0.3967,0.0,False,HIGH,0.716,51.9,47.2,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:58:33
fear,0.51,fear,fear,HIGH,HIGH,MEDIUM,MEDIUM,FOCUSED,0.45,0.357,FLUCTUATING,17,2.61,CENTER,1.0,0,"{'yaw': 1.22, 'pitch': 1.95, 'roll': -0.12}",sad,0.36666666666666664,medium,0.3967,0.0,False,HIGH,0.716,52.0,47.2,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Negative emotional state,2026-07-07 17:58:33
happy,0.45,happy,happy,HIGH,HIGH,MEDIUM,LOW,FOCUSED,0.54,0.315,FLUCTUATING,17,2.38,CENTER,1.0,0,"{'yaw': -2.15, 'pitch': 2.61, 'roll': -0.05}",sad,0.36666666666666664,medium,0.3967,0.0,False,HIGH,0.716,36.9,47.2,MEDIUM,"{'visual_stress': 35.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:58:34
