emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,timestamp
sad,sad,LOW,Stable emotional condition,0.77,0.58,1,sad,0.34,medium,0.41,0.0,sad,True,LOW,0.0,17.0,LOW,LOW,9.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.9, 'eye_avoidance': 0.0, 'head_movement': 1.7}",FLUCTUATING,2026-07-06 20:05:38
sad,sad,LOW,Stable emotional condition,0.84,0.605,1,sad,0.34,medium,0.41,0.0,sad,True,LOW,0.0,17.0,LOW,LOW,9.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.7}",FLUCTUATING,2026-07-06 20:05:39
sad,sad,LOW,Stable emotional condition,0.75,0.48,1,sad,0.34,medium,0.41,0.0,sad,True,LOW,0.0,17.0,LOW,LOW,9.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 1.7}",FLUCTUATING,2026-07-06 20:05:39
happy,happy,LOW,Stable emotional condition,0.83,0.273,1,sad,0.34,medium,0.41,0.0,happy,False,LOW,0.0,2.1,LOW,LOW,9.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.8}",UNSTABLE,2026-07-06 20:05:40
sad,sad,LOW,Stable emotional condition,0.67,0.56,1,sad,0.34,medium,0.41,0.0,sad,True,LOW,0.0,17.1,LOW,LOW,9.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 1.8}",UNSTABLE,2026-07-06 20:05:40
sad,sad,LOW,Stable emotional condition,0.67,0.695,1,sad,0.34,medium,0.41,0.0,sad,True,LOW,0.0,17.1,LOW,LOW,9.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.8}",UNSTABLE,2026-07-06 20:05:40
sad,sad,LOW,Stable emotional condition,0.67,0.76,1,sad,0.34,medium,0.41,0.0,sad,True,LOW,0.0,17.2,LOW,LOW,9.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-06 20:05:41
happy,happy,LOW,Stable emotional condition,0.76,0.7,2,sad,0.34,medium,0.41,0.0,happy,False,LOW,0.0,2.6,LOW,LOW,9.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-06 20:05:41
sad,sad,LOW,Stable emotional condition,0.74,0.645,2,sad,0.34,medium,0.43,0.0,sad,True,LOW,0.0,17.7,LOW,LOW,9.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-06 20:05:42
sad,sad,LOW,Stable emotional condition,0.67,0.745,2,sad,0.34,medium,0.43,0.0,sad,True,LOW,0.0,17.7,LOW,LOW,9.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 2.0}",STABLE,2026-07-06 20:05:43
sad,sad,LOW,Stable emotional condition,0.67,0.77,2,sad,0.34,medium,0.43,0.0,sad,True,LOW,0.0,17.8,LOW,LOW,9.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 2.1}",STABLE,2026-07-06 20:05:44
sad,sad,LOW,Stable emotional condition,0.75,0.745,3,sad,0.34,medium,0.43,0.0,sad,True,LOW,0.0,18.2,LOW,LOW,9.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 2.2}",STABLE,2026-07-06 20:05:45
neutral,neutral,LOW,Stable emotional condition,0.76,0.7,3,sad,0.34,medium,0.43,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,9.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 2.3}",FLUCTUATING,2026-07-06 20:05:46
sad,sad,LOW,Stable emotional condition,0.76,0.77,3,sad,0.34,medium,0.43,0.0,sad,True,LOW,0.0,18.3,LOW,LOW,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.3}",FLUCTUATING,2026-07-06 20:05:47
sad,sad,LOW,Stable emotional condition,0.76,0.685,3,sad,0.34,medium,0.43,0.0,sad,True,LOW,0.0,18.4,LOW,LOW,9.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.4}",FLUCTUATING,2026-07-06 20:05:47
sad,sad,LOW,Stable emotional condition,0.83,0.76,3,sad,0.34,medium,0.43,0.0,sad,True,LOW,0.0,18.4,LOW,LOW,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.4}",FLUCTUATING,2026-07-06 20:05:48
sad,sad,LOW,Stable emotional condition,0.76,0.71,3,sad,0.34,medium,0.43,0.0,sad,True,LOW,0.0,18.4,LOW,LOW,10.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.4}",FLUCTUATING,2026-07-06 20:05:48
neutral,neutral,LOW,Stable emotional condition,0.76,0.679,3,sad,0.34,medium,0.43,0.0,neutral,False,LOW,0.0,6.4,LOW,LOW,10.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.4}",STABLE,2026-07-06 20:05:49
neutral,neutral,LOW,Stable emotional condition,0.76,0.595,3,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,6.4,LOW,LOW,10.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.4}",STABLE,2026-07-06 20:05:50
neutral,neutral,LOW,Stable emotional condition,0.83,0.693,3,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,6.4,LOW,LOW,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 2.4}",STABLE,2026-07-06 20:05:51
neutral,neutral,LOW,Stable emotional condition,0.76,0.686,3,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,6.4,LOW,LOW,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 2.4}",STABLE,2026-07-06 20:05:51
neutral,neutral,LOW,Stable emotional condition,0.76,0.672,3,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,6.2,LOW,LOW,9.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.2}",STABLE,2026-07-06 20:05:52
neutral,neutral,LOW,Stable emotional condition,0.83,0.644,3,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,8.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.3}",STABLE,2026-07-06 20:05:52
neutral,neutral,LOW,Stable emotional condition,0.83,0.63,3,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,8.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.3}",STABLE,2026-07-06 20:05:53
neutral,neutral,LOW,Stable emotional condition,0.83,0.665,3,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,8.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.3}",STABLE,2026-07-06 20:05:53
fear,fear,LOW,Negative emotional state,0.83,0.378,3,sad,0.34,medium,0.4467,0.0,fear,False,LOW,0.0,18.3,LOW,LOW,8.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.3}",FLUCTUATING,2026-07-06 20:05:54
sad,sad,LOW,Stable emotional condition,0.67,0.645,3,sad,0.34,medium,0.4467,0.0,sad,True,LOW,0.0,18.3,LOW,LOW,8.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.3}",FLUCTUATING,2026-07-06 20:05:54
neutral,neutral,LOW,Stable emotional condition,0.74,0.581,3,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,8.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.3}",FLUCTUATING,2026-07-06 20:05:55
neutral,neutral,LOW,Stable emotional condition,0.72,0.602,3,sad,0.33,medium,0.3967,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,8.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.3}",FLUCTUATING,2026-07-06 20:05:56
neutral,neutral,LOW,Stable emotional condition,0.83,0.672,4,sad,0.33,medium,0.3967,0.0,neutral,False,LOW,0.0,6.8,LOW,LOW,8.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.2, 'eye_avoidance': 0.0, 'head_movement': 2.4}",FLUCTUATING,2026-07-06 20:05:56
sad,sad,LOW,Stable emotional condition,0.83,0.745,4,sad,0.33,medium,0.3967,0.0,sad,True,LOW,0.0,19.0,LOW,LOW,8.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.6}",FLUCTUATING,2026-07-06 20:05:57
neutral,neutral,LOW,Stable emotional condition,0.67,0.364,4,sad,0.33,medium,0.3967,0.0,neutral,False,LOW,0.0,7.1,LOW,LOW,8.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.8}",FLUCTUATING,2026-07-06 20:05:57
neutral,neutral,LOW,Stable emotional condition,0.83,0.56,4,sad,0.33,medium,0.3967,0.0,neutral,False,LOW,0.0,7.2,LOW,LOW,8.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.9}",FLUCTUATING,2026-07-06 20:05:58
neutral,neutral,LOW,Stable emotional condition,0.76,0.378,4,sad,0.33,medium,0.3967,0.0,neutral,False,LOW,0.0,7.1,LOW,LOW,8.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.2, 'eye_avoidance': 0.0, 'head_movement': 2.8}",FLUCTUATING,2026-07-06 20:05:58
neutral,neutral,LOW,Stable emotional condition,0.83,0.693,4,sad,0.33,medium,0.3967,0.0,neutral,False,LOW,0.0,7.1,LOW,LOW,8.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.2, 'eye_avoidance': 0.0, 'head_movement': 2.8}",FLUCTUATING,2026-07-06 20:05:59
sad,sad,LOW,Stable emotional condition,0.67,0.735,4,sad,0.33,medium,0.3967,0.0,sad,True,LOW,0.0,19.1,LOW,LOW,8.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.8}",STABLE,2026-07-06 20:05:59
neutral,neutral,LOW,Stable emotional condition,0.67,0.665,4,sad,0.33,medium,0.3967,0.0,neutral,False,LOW,0.0,7.1,LOW,LOW,8.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.8}",STABLE,2026-07-06 20:06:00
neutral,neutral,LOW,Stable emotional condition,0.83,0.658,5,sad,0.33,medium,0.3967,0.0,neutral,False,LOW,0.0,7.4,LOW,LOW,8.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.2, 'eye_avoidance': 0.0, 'head_movement': 2.8}",STABLE,2026-07-06 20:06:00
neutral,neutral,LOW,Stable emotional condition,0.83,0.665,5,sad,0.32666666666666666,medium,0.3867,0.0,neutral,False,LOW,0.0,7.4,LOW,LOW,8.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.2, 'eye_avoidance': 0.0, 'head_movement': 2.8}",STABLE,2026-07-06 20:06:01
sad,sad,LOW,Stable emotional condition,0.83,0.753,5,sad,0.32666666666666666,medium,0.3867,0.0,sad,True,LOW,0.0,19.5,LOW,LOW,8.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.9}",STABLE,2026-07-06 20:06:02
angry,angry,LOW,Negative emotional state,0.83,0.357,5,sad,0.32666666666666666,medium,0.3867,0.0,angry,False,LOW,0.0,19.6,LOW,LOW,8.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.9}",FLUCTUATING,2026-07-06 20:06:02
angry,angry,LOW,Negative emotional state,0.83,0.385,5,sad,0.32666666666666666,medium,0.3867,0.0,angry,False,LOW,0.0,19.7,LOW,LOW,8.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 3.1}",FLUCTUATING,2026-07-06 20:06:03
sad,sad,LOW,Stable emotional condition,0.83,0.563,5,sad,0.32666666666666666,medium,0.3867,0.0,sad,True,LOW,0.0,19.9,LOW,LOW,8.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 3.2}",FLUCTUATING,2026-07-06 20:06:03
neutral,neutral,LOW,Stable emotional condition,0.83,0.378,5,sad,0.32666666666666666,medium,0.3867,0.0,neutral,False,LOW,0.0,7.8,LOW,LOW,9.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.1}",FLUCTUATING,2026-07-06 20:06:04
neutral,neutral,LOW,Stable emotional condition,0.83,0.686,5,sad,0.32666666666666666,medium,0.3867,0.0,neutral,False,LOW,0.0,7.7,LOW,LOW,9.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.0}",FLUCTUATING,2026-07-06 20:06:04
neutral,neutral,LOW,Stable emotional condition,0.83,0.672,5,sad,0.32666666666666666,medium,0.3867,0.0,neutral,False,LOW,0.0,7.6,LOW,LOW,9.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.9}",FLUCTUATING,2026-07-06 20:06:04
neutral,neutral,LOW,Stable emotional condition,0.83,0.686,5,sad,0.32666666666666666,medium,0.3867,0.0,neutral,False,LOW,0.0,7.5,LOW,LOW,8.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.8}",FLUCTUATING,2026-07-06 20:06:05
neutral,neutral,LOW,Stable emotional condition,0.83,0.686,5,sad,0.32666666666666666,medium,0.3867,0.0,neutral,False,LOW,0.0,7.4,LOW,LOW,8.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.7}",FLUCTUATING,2026-07-06 20:06:05
neutral,neutral,LOW,Stable emotional condition,0.83,0.679,5,sad,0.32666666666666666,medium,0.3467,0.0,neutral,False,LOW,0.0,7.2,LOW,LOW,8.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.6}",FLUCTUATING,2026-07-06 20:06:06
neutral,neutral,LOW,Stable emotional condition,0.83,0.665,5,sad,0.32666666666666666,medium,0.3467,0.0,neutral,False,LOW,0.0,7.2,LOW,LOW,8.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.6}",FLUCTUATING,2026-07-06 20:06:07
neutral,neutral,LOW,Stable emotional condition,0.83,0.63,5,sad,0.32666666666666666,medium,0.3467,0.0,neutral,False,LOW,0.0,7.2,LOW,LOW,8.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.6}",FLUCTUATING,2026-07-06 20:06:07
neutral,neutral,LOW,Stable emotional condition,0.67,0.588,5,sad,0.32666666666666666,medium,0.3467,0.0,neutral,False,LOW,0.0,7.3,LOW,LOW,8.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 2.6}",STABLE,2026-07-06 20:06:08
angry,angry,LOW,Negative emotional state,1.0,0.357,5,sad,0.32666666666666666,medium,0.3467,0.0,angry,False,LOW,0.0,16.7,LOW,LOW,7.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 20:06:08
angry,angry,LOW,Negative emotional state,0.83,0.462,5,sad,0.32666666666666666,medium,0.3467,0.0,angry,False,LOW,0.0,19.6,LOW,LOW,8.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 2.9}",STABLE,2026-07-06 20:06:09
fear,fear,LOW,Negative emotional state,0.83,0.336,5,sad,0.32666666666666666,medium,0.3467,0.0,fear,False,LOW,0.0,19.8,LOW,LOW,8.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.1}",FLUCTUATING,2026-07-06 20:06:09
neutral,neutral,LOW,Stable emotional condition,0.83,0.7,5,sad,0.32666666666666666,medium,0.3467,0.0,neutral,False,LOW,0.0,7.9,LOW,LOW,8.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.2}",FLUCTUATING,2026-07-06 20:06:10
sad,sad,LOW,Stable emotional condition,0.76,0.758,5,sad,0.32666666666666666,medium,0.3467,0.0,sad,True,LOW,0.0,19.9,LOW,LOW,9.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.2}",FLUCTUATING,2026-07-06 20:06:10
