emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,neutral,0.0,LOW,0.0,0.0,unknown,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 20:05:16
sad,sad,LOW,Stable emotional condition,0.82,0.43,0,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,15.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 20:05:19
sad,sad,LOW,Stable emotional condition,0.93,0.42,0,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,15.0,LOW,LOW,6.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 20:05:19
neutral,neutral,LOW,Stable emotional condition,0.93,0.96,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,8.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 20:05:20
neutral,neutral,LOW,Stable emotional condition,0.94,0.93,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,7.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 20:05:20
neutral,neutral,LOW,Stable emotional condition,1.0,1.0,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.9,LOW,LOW,7.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.0, 'eye_avoidance': 0.0, 'head_movement': 0.9}",STABLE,2026-07-06 20:05:21
neutral,neutral,LOW,Stable emotional condition,1.0,0.94,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.9,LOW,LOW,6.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.9}",STABLE,2026-07-06 20:05:21
neutral,neutral,LOW,Stable emotional condition,1.0,0.8,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.9,LOW,LOW,6.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.3, 'eye_avoidance': 0.0, 'head_movement': 0.9}",STABLE,2026-07-06 20:05:22
neutral,neutral,LOW,Stable emotional condition,0.82,0.98,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.9,LOW,LOW,5.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.9}",STABLE,2026-07-06 20:05:22
neutral,neutral,LOW,Stable emotional condition,0.94,0.693,0,sad,0.2915873015873015,medium,0.3767,0.0043,neutral,False,LOW,0.0,3.9,LOW,LOW,5.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.3, 'eye_avoidance': 0.0, 'head_movement': 0.9}",FLUCTUATING,2026-07-06 20:05:31
happy,happy,LOW,Stable emotional condition,0.82,0.63,0,sad,0.2915873015873015,medium,0.3767,0.0043,happy,False,LOW,0.0,0.9,LOW,LOW,5.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.5, 'eye_avoidance': 0.0, 'head_movement': 0.9}",FLUCTUATING,2026-07-06 20:05:32
neutral,neutral,LOW,Stable emotional condition,1.0,0.679,0,sad,0.2915873015873015,medium,0.3767,0.0043,neutral,False,LOW,0.0,4.0,LOW,LOW,5.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.5, 'eye_avoidance': 0.0, 'head_movement': 1.0}",FLUCTUATING,2026-07-06 20:05:33
angry,angry,LOW,Negative emotional state,0.85,0.287,0,sad,0.2915873015873015,medium,0.3767,0.0043,angry,False,LOW,0.0,16.6,LOW,LOW,6.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,2026-07-06 20:05:34
neutral,neutral,LOW,Stable emotional condition,0.68,0.693,0,sad,0.2915873015873015,medium,0.3767,0.0043,neutral,False,LOW,0.0,4.6,LOW,LOW,7.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.9, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,2026-07-06 20:05:34
neutral,neutral,LOW,Stable emotional condition,0.87,0.644,0,sad,0.2915873015873015,medium,0.3767,0.0043,neutral,False,LOW,0.0,4.5,LOW,LOW,7.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.4, 'eye_avoidance': 0.0, 'head_movement': 1.5}",FLUCTUATING,2026-07-06 20:05:34
neutral,neutral,LOW,Stable emotional condition,0.88,0.672,0,sad,0.2915873015873015,medium,0.3767,0.0043,neutral,False,LOW,0.0,4.5,LOW,LOW,7.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.0, 'eye_avoidance': 0.0, 'head_movement': 1.5}",FLUCTUATING,2026-07-06 20:05:35
neutral,neutral,LOW,Stable emotional condition,0.88,0.7,0,sad,0.2915873015873015,medium,0.3767,0.0043,neutral,False,LOW,0.0,4.5,LOW,LOW,7.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.6, 'eye_avoidance': 0.0, 'head_movement': 1.5}",FLUCTUATING,2026-07-06 20:05:35
angry,angry,LOW,Negative emotional state,0.85,0.35,0,sad,0.2915873015873015,medium,0.3767,0.0043,angry,False,LOW,0.0,16.6,LOW,LOW,7.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,2026-07-06 20:05:36
neutral,neutral,LOW,Stable emotional condition,0.85,0.406,0,sad,0.2915873015873015,medium,0.3767,0.0043,neutral,False,LOW,0.0,4.6,LOW,LOW,7.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,2026-07-06 20:05:36
sad,sad,LOW,Stable emotional condition,0.68,0.56,0,sad,0.34,medium,0.41,0.0,sad,True,LOW,0.0,16.6,LOW,LOW,8.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.1, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,2026-07-06 20:05:37
fear,fear,LOW,Negative emotional state,0.67,0.462,0,sad,0.34,medium,0.41,0.0,fear,False,LOW,0.0,16.6,LOW,LOW,8.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,2026-07-06 20:05:38
