emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,neutral,0.0,LOW,0.0,0.0,unknown,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:12:43
happy,happy,LOW,Stable emotional condition,0.82,0.98,0,neutral,0.0,LOW,0.0,0.0,happy,,LOW,0.0,0.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:12:46
happy,happy,LOW,Stable emotional condition,0.82,0.63,0,neutral,0.0,LOW,0.0,0.0,happy,,LOW,0.0,0.0,LOW,LOW,6.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:12:46
happy,happy,LOW,Stable emotional condition,0.82,0.91,0,neutral,0.0,LOW,0.0,0.0,happy,,LOW,0.0,0.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:12:47
happy,happy,LOW,Stable emotional condition,0.82,0.94,0,neutral,0.0,LOW,0.0,0.0,happy,,LOW,0.0,0.0,LOW,LOW,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:12:47
neutral,neutral,LOW,Stable emotional condition,0.9,0.84,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.6,LOW,LOW,5.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.0, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 18:12:48
neutral,neutral,LOW,Stable emotional condition,0.82,0.92,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.7,LOW,LOW,5.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.7}",STABLE,2026-07-07 18:12:48
neutral,neutral,LOW,Stable emotional condition,0.82,0.68,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.7,LOW,LOW,5.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.3, 'eye_avoidance': 0.0, 'head_movement': 0.7}",STABLE,2026-07-07 18:12:49
neutral,neutral,LOW,Stable emotional condition,0.82,0.76,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.6,LOW,LOW,5.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 18:12:49
neutral,neutral,LOW,Stable emotional condition,0.82,0.567,0,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,3.6,LOW,LOW,4.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.3, 'eye_avoidance': 0.0, 'head_movement': 0.6}",FLUCTUATING,2026-07-07 18:13:00
neutral,neutral,LOW,Stable emotional condition,0.82,0.672,0,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,3.6,LOW,LOW,4.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.0, 'eye_avoidance': 0.0, 'head_movement': 0.7}",STABLE,2026-07-07 18:13:02
neutral,neutral,LOW,Stable emotional condition,0.82,0.497,0,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,3.6,LOW,LOW,3.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.7, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 18:13:02
neutral,neutral,LOW,Stable emotional condition,0.82,0.546,0,sad,0.34,medium,0.4467,0.0,neutral,False,LOW,0.0,3.6,LOW,LOW,3.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.5, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 18:13:03
happy,happy,LOW,Stable emotional condition,0.82,0.679,0,sad,0.34,medium,0.4467,0.0,happy,False,LOW,0.0,0.6,LOW,LOW,3.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.5, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 18:13:03
