emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,neutral,0.0,LOW,0.0,0.0,unknown,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:45:51
neutral,neutral,LOW,Stable emotional condition,0.82,0.37,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:45:54
sad,sad,LOW,Stable emotional condition,0.82,0.91,0,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,15.0,LOW,LOW,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:45:54
sad,sad,LOW,Stable emotional condition,0.82,1.0,1,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,15.3,LOW,LOW,9.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:45:55
sad,sad,LOW,Stable emotional condition,0.82,1.0,1,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,15.3,LOW,LOW,8.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 18:45:55
sad,sad,LOW,Stable emotional condition,0.88,1.0,1,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,16.8,LOW,LOW,8.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.0, 'eye_avoidance': 0.0, 'head_movement': 1.5}",STABLE,2026-07-07 18:45:56
sad,sad,LOW,Stable emotional condition,0.83,1.0,1,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,17.2,LOW,LOW,7.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,2026-07-07 18:45:56
sad,sad,LOW,Stable emotional condition,0.67,1.0,1,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,17.0,LOW,LOW,7.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.3, 'eye_avoidance': 0.0, 'head_movement': 1.7}",STABLE,2026-07-07 18:45:57
fear,fear,LOW,Negative emotional state,0.67,0.81,1,neutral,0.0,LOW,0.0,0.0,fear,,LOW,0.0,17.1,LOW,LOW,7.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.6, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,2026-07-07 18:45:57
angry,angry,LOW,Negative emotional state,0.67,0.567,1,sad,0.2743650793650793,medium,0.3867,0.0001,angry,False,LOW,0.0,17.3,LOW,LOW,7.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 2.0}",UNSTABLE,2026-07-07 18:46:07
fear,fear,LOW,Negative emotional state,1.0,0.567,2,sad,0.2743650793650793,medium,0.3867,0.0001,fear,False,LOW,0.0,15.7,LOW,LOW,7.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",FLUCTUATING,2026-07-07 18:46:08
neutral,neutral,LOW,Stable emotional condition,0.67,0.7,2,sad,0.2743650793650793,medium,0.3867,0.0001,neutral,False,LOW,0.0,5.6,LOW,LOW,8.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.2, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-07 18:46:09
neutral,neutral,LOW,Stable emotional condition,0.67,0.7,2,sad,0.2743650793650793,medium,0.3867,0.0001,neutral,False,LOW,0.0,5.5,LOW,LOW,9.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 18:46:10
neutral,neutral,LOW,Stable emotional condition,0.67,0.7,2,sad,0.2743650793650793,medium,0.3867,0.0001,neutral,False,LOW,0.0,5.5,LOW,LOW,8.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.9, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-07 18:46:10
neutral,neutral,LOW,Stable emotional condition,0.67,0.7,2,sad,0.2743650793650793,medium,0.3867,0.0001,neutral,False,LOW,0.0,5.4,LOW,LOW,8.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.4, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-07 18:46:10
neutral,neutral,LOW,Stable emotional condition,0.67,0.7,2,sad,0.2743650793650793,medium,0.3867,0.0001,neutral,False,LOW,0.0,5.4,LOW,LOW,8.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.0, 'eye_avoidance': 0.0, 'head_movement': 1.7}",FLUCTUATING,2026-07-07 18:46:11
