emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,neutral,0.0,LOW,0.0,0.0,unknown,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:33:06
neutral,neutral,LOW,Stable emotional condition,0.82,0.93,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:33:09
neutral,neutral,LOW,Stable emotional condition,0.82,0.97,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,6.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:33:11
neutral,neutral,LOW,Stable emotional condition,0.93,0.83,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:33:11
neutral,neutral,LOW,Stable emotional condition,0.82,0.89,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:33:12
neutral,neutral,LOW,Stable emotional condition,0.82,0.85,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.6,LOW,LOW,4.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.0, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 17:33:13
neutral,neutral,LOW,Stable emotional condition,0.82,0.61,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.6,LOW,LOW,3.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.5, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 17:33:14
neutral,neutral,LOW,Stable emotional condition,0.82,0.92,1,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,4.0,LOW,LOW,3.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 17:33:15
neutral,neutral,LOW,Stable emotional condition,0.82,0.98,1,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.9,LOW,LOW,3.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.9, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 17:33:15
neutral,neutral,LOW,Stable emotional condition,0.82,0.686,2,calm,0.4666666666666667,medium,0.41,0.0011,neutral,False,LOW,0.0,4.2,LOW,LOW,2.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.7, 'eye_avoidance': 0.0, 'head_movement': 0.6}",STABLE,2026-07-07 17:33:29
