emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,video_quality,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,modality_weights,quality_warning,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,0.0,neutral,0.0,LOW,0.0,0.0,0.0,unknown,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 0.5, 'audio': 0.5}",True,2026-07-08 13:23:33
happy,happy,LOW,Stable emotional condition,0.94,0.652,0,0.733,neutral,0.0,LOW,0.0,0.0,0.0,happy,,LOW,0.0,0.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:37
fear,fear,LOW,Negative emotional state,1.0,0.646,0,0.734,neutral,0.0,LOW,0.0,0.0,0.0,fear,,LOW,0.0,15.0,LOW,LOW,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:37
fear,fear,LOW,Negative emotional state,1.0,0.322,0,0.731,neutral,0.0,LOW,0.0,0.0,0.0,fear,,LOW,0.0,15.0,LOW,LOW,9.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:38
neutral,neutral,LOW,Stable emotional condition,0.82,0.515,0,0.726,neutral,0.0,LOW,0.0,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,10.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:39
neutral,neutral,LOW,Stable emotional condition,0.83,0.371,1,0.728,neutral,0.0,LOW,0.0,0.0,0.0,neutral,,LOW,0.0,5.2,LOW,LOW,10.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.0, 'eye_avoidance': 0.0, 'head_movement': 1.9}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:39
fear,fear,LOW,Negative emotional state,0.83,0.705,1,0.727,neutral,0.0,LOW,0.0,0.0,0.0,fear,,LOW,0.0,17.1,LOW,LOW,11.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:40
surprise,surprise,LOW,Stable emotional condition,0.76,0.483,1,0.732,neutral,0.0,LOW,0.0,0.0,0.0,surprise,,LOW,0.0,2.1,LOW,LOW,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.7, 'eye_avoidance': 0.0, 'head_movement': 1.7}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:41
neutral,neutral,LOW,Stable emotional condition,0.77,0.71,1,0.732,neutral,0.0,LOW,0.0,0.0,0.0,neutral,,LOW,0.0,5.0,LOW,LOW,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 1.7}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:41
neutral,neutral,LOW,Negative emotional state,0.85,0.382,1,0.733,angry,0.6866666666666666,low,0.4,0.0973,0.795,angry,False,LOW,0.0,16.9,LOW,LOW,12.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.7, 'eye_avoidance': 0.0, 'head_movement': 1.6}",UNSTABLE,"{'visual': 0.416, 'audio': 0.584}",False,2026-07-08 13:23:53
sad,sad,LOW,Negative emotional state,1.0,0.382,1,0.391,angry,0.6866666666666666,low,0.4,0.0973,0.795,angry,False,LOW,0.0,15.3,LOW,LOW,11.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",UNSTABLE,"{'visual': 0.417, 'audio': 0.583}",False,2026-07-08 13:23:55
fear,fear,LOW,Negative emotional state,0.85,0.505,1,0.729,angry,0.6866666666666666,low,0.4,0.0973,0.795,fear,False,LOW,0.0,17.0,LOW,LOW,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,"{'visual': 0.569, 'audio': 0.431}",False,2026-07-08 13:23:56
fear,fear,LOW,Negative emotional state,0.85,0.465,1,0.73,angry,0.6866666666666666,low,0.4,0.0973,0.795,fear,False,LOW,0.0,16.9,LOW,LOW,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,"{'visual': 0.549, 'audio': 0.451}",False,2026-07-08 13:23:56
sad,sad,LOW,Stable emotional condition,0.88,0.383,1,0.729,angry,0.6866666666666666,low,0.4,0.0973,0.795,sad,False,LOW,0.0,16.9,LOW,LOW,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.4, 'eye_avoidance': 0.0, 'head_movement': 1.5}",UNSTABLE,"{'visual': 0.5, 'audio': 0.5}",False,2026-07-08 13:23:57
neutral,neutral,LOW,Stable emotional condition,0.83,0.509,1,0.734,angry,0.6866666666666666,low,0.4,0.0973,0.795,neutral,False,LOW,0.0,5.1,LOW,LOW,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.7, 'eye_avoidance': 0.0, 'head_movement': 1.8}",UNSTABLE,"{'visual': 0.571, 'audio': 0.429}",False,2026-07-08 13:23:58
neutral,neutral,LOW,Negative emotional state,0.83,0.382,1,0.731,angry,0.6866666666666666,low,0.4,0.0973,0.795,angry,False,LOW,0.0,17.3,LOW,LOW,12.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.0, 'eye_avoidance': 0.0, 'head_movement': 2.0}",UNSTABLE,"{'visual': 0.48, 'audio': 0.52}",False,2026-07-08 13:23:58
happy,happy,LOW,Stable emotional condition,0.75,0.517,1,0.738,angry,0.6866666666666666,low,0.4,0.0973,0.795,happy,False,LOW,0.0,2.4,LOW,LOW,12.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 2.0}",UNSTABLE,"{'visual': 0.575, 'audio': 0.425}",False,2026-07-08 13:23:59
sad,sad,LOW,Negative emotional state,0.76,0.382,1,0.733,angry,0.6866666666666666,low,0.4,0.0973,0.795,angry,False,LOW,0.0,17.3,LOW,LOW,13.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.5, 'eye_avoidance': 0.0, 'head_movement': 2.0}",UNSTABLE,"{'visual': 0.458, 'audio': 0.542}",False,2026-07-08 13:24:00
fear,fear,LOW,Negative emotional state,0.83,0.382,1,0.722,angry,0.6866666666666666,low,0.4,0.0973,0.795,angry,False,LOW,0.0,17.4,LOW,LOW,13.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",UNSTABLE,"{'visual': 0.31, 'audio': 0.69}",False,2026-07-08 13:24:00
neutral,neutral,LOW,Stable emotional condition,0.83,0.412,1,0.726,fear,0.5966666666666667,medium,0.44,0.0748,0.75,neutral,False,LOW,0.0,5.4,LOW,LOW,13.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.1, 'eye_avoidance': 0.0, 'head_movement': 2.1}",UNSTABLE,"{'visual': 0.568, 'audio': 0.432}",False,2026-07-08 13:24:01
fear,fear,LOW,Negative emotional state,0.83,0.608,1,0.728,fear,0.5966666666666667,medium,0.44,0.0748,0.75,fear,True,LOW,0.0,17.4,LOW,LOW,13.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 2.1}",UNSTABLE,"{'visual': 0.559, 'audio': 0.441}",False,2026-07-08 13:24:02
happy,happy,LOW,Stable emotional condition,0.75,0.481,1,0.723,fear,0.5966666666666667,medium,0.44,0.0748,0.75,happy,False,LOW,0.0,2.4,LOW,LOW,13.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 2.0}",UNSTABLE,"{'visual': 0.606, 'audio': 0.394}",False,2026-07-08 13:24:03
neutral,neutral,LOW,Stable emotional condition,0.83,0.505,1,0.721,fear,0.5966666666666667,medium,0.44,0.0748,0.75,neutral,False,LOW,0.0,5.3,LOW,LOW,13.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.6, 'eye_avoidance': 0.0, 'head_movement': 2.0}",UNSTABLE,"{'visual': 0.617, 'audio': 0.383}",False,2026-07-08 13:24:03
fear,fear,LOW,Negative emotional state,0.67,0.429,1,0.723,fear,0.5966666666666667,medium,0.44,0.0748,0.75,fear,True,LOW,0.0,17.3,LOW,LOW,13.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.7, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.319, 'audio': 0.681}",False,2026-07-08 13:24:04
neutral,neutral,LOW,Stable emotional condition,0.83,0.45,2,0.722,fear,0.5966666666666667,medium,0.44,0.0748,0.75,neutral,False,LOW,0.0,5.7,LOW,LOW,13.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.9, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.589, 'audio': 0.411}",False,2026-07-08 13:24:05
neutral,neutral,LOW,Negative emotional state,0.83,0.313,2,0.724,fear,0.5966666666666667,medium,0.44,0.0748,0.75,fear,False,LOW,0.0,17.7,LOW,LOW,13.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.0, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.466, 'audio': 0.534}",False,2026-07-08 13:24:05
neutral,neutral,LOW,Stable emotional condition,0.76,0.443,2,0.727,fear,0.5966666666666667,medium,0.44,0.0748,0.75,neutral,False,LOW,0.0,5.7,LOW,LOW,13.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.1, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.586, 'audio': 0.414}",False,2026-07-08 13:24:06
angry,angry,LOW,Negative emotional state,0.67,0.313,2,0.72,fear,0.5966666666666667,medium,0.44,0.0748,0.75,fear,False,LOW,0.0,17.7,LOW,LOW,14.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.2, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.409, 'audio': 0.591}",False,2026-07-08 13:24:06
fear,fear,LOW,Negative emotional state,0.67,0.637,2,0.721,fear,0.5966666666666667,medium,0.44,0.0748,0.75,fear,True,LOW,0.0,17.7,LOW,LOW,13.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.584, 'audio': 0.416}",False,2026-07-08 13:24:07
fear,fear,LOW,Negative emotional state,0.83,0.335,3,0.715,angry,0.6,medium,0.4867,0.0606,0.713,fear,False,LOW,0.0,18.0,LOW,LOW,13.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.528, 'audio': 0.472}",False,2026-07-08 13:24:08
fear,fear,LOW,Negative emotional state,0.77,0.299,3,0.726,angry,0.6,medium,0.4867,0.0606,0.713,angry,False,LOW,0.0,18.1,LOW,LOW,13.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.474, 'audio': 0.526}",False,2026-07-08 13:24:09
fear,fear,LOW,Negative emotional state,0.83,0.299,3,0.715,angry,0.6,medium,0.4867,0.0606,0.713,angry,False,LOW,0.0,18.1,LOW,LOW,13.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.418, 'audio': 0.582}",False,2026-07-08 13:24:10
neutral,neutral,LOW,Stable emotional condition,0.83,0.496,3,0.723,angry,0.6,medium,0.4867,0.0606,0.713,neutral,False,LOW,0.0,6.2,LOW,LOW,13.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 2.2}",FLUCTUATING,"{'visual': 0.624, 'audio': 0.376}",False,2026-07-08 13:24:10
neutral,neutral,LOW,Stable emotional condition,0.75,0.314,3,0.724,angry,0.6,medium,0.4867,0.0606,0.713,neutral,False,LOW,0.0,6.2,LOW,LOW,13.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.2}",FLUCTUATING,"{'visual': 0.512, 'audio': 0.488}",False,2026-07-08 13:24:11
happy,happy,LOW,Stable emotional condition,0.76,0.492,3,0.725,angry,0.6,medium,0.4867,0.0606,0.713,happy,False,LOW,0.0,3.2,LOW,LOW,13.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 2.2}",FLUCTUATING,"{'visual': 0.622, 'audio': 0.378}",False,2026-07-08 13:24:11
fear,fear,LOW,Negative emotional state,0.83,0.448,3,0.719,angry,0.6,medium,0.4867,0.0606,0.713,fear,False,LOW,0.0,18.2,LOW,LOW,13.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 2.2}",FLUCTUATING,"{'visual': 0.599, 'audio': 0.401}",False,2026-07-08 13:24:12
surprise,surprise,LOW,Negative emotional state,0.83,0.299,3,0.727,angry,0.6,medium,0.4867,0.0606,0.713,angry,False,LOW,0.0,18.1,LOW,LOW,13.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.488, 'audio': 0.512}",False,2026-07-08 13:24:13
fear,fear,LOW,Negative emotional state,0.83,0.49,3,0.729,angry,0.6,medium,0.4867,0.0606,0.713,fear,False,LOW,0.0,18.1,LOW,LOW,13.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.621, 'audio': 0.379}",False,2026-07-08 13:24:13
fear,fear,LOW,Negative emotional state,0.83,0.413,3,0.729,angry,0.6,medium,0.4867,0.0606,0.713,fear,False,LOW,0.0,18.1,LOW,LOW,13.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.58, 'audio': 0.42}",False,2026-07-08 13:24:14
fear,fear,LOW,Negative emotional state,0.75,0.654,3,0.727,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,fear,True,LOW,0.0,18.1,LOW,LOW,13.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.63, 'audio': 0.37}",False,2026-07-08 13:24:15
fear,fear,LOW,Negative emotional state,0.83,0.624,3,0.725,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,fear,True,LOW,0.0,18.1,LOW,LOW,12.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.608, 'audio': 0.392}",False,2026-07-08 13:24:16
neutral,neutral,LOW,Stable emotional condition,0.77,0.315,3,0.725,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,neutral,False,LOW,0.0,6.0,LOW,LOW,12.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.523, 'audio': 0.477}",False,2026-07-08 13:24:17
neutral,neutral,LOW,Stable emotional condition,0.83,0.499,3,0.728,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,neutral,False,LOW,0.0,6.0,LOW,LOW,12.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.635, 'audio': 0.365}",False,2026-07-08 13:24:17
happy,happy,LOW,Stable emotional condition,0.83,0.505,3,0.728,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,happy,False,LOW,0.0,3.1,LOW,LOW,12.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.637, 'audio': 0.363}",False,2026-07-08 13:24:18
fear,fear,LOW,Negative emotional state,0.83,0.493,3,0.722,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,fear,True,LOW,0.0,18.2,LOW,LOW,12.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.2}",FLUCTUATING,"{'visual': 0.478, 'audio': 0.522}",False,2026-07-08 13:24:19
neutral,neutral,LOW,Stable emotional condition,0.73,0.495,3,0.722,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,neutral,False,LOW,0.0,6.1,LOW,LOW,12.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.633, 'audio': 0.367}",False,2026-07-08 13:24:19
fear,fear,LOW,Negative emotional state,0.83,0.6,3,0.728,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,fear,True,LOW,0.0,18.1,LOW,LOW,12.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.59, 'audio': 0.41}",False,2026-07-08 13:24:20
neutral,neutral,LOW,Stable emotional condition,0.83,0.464,3,0.729,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,neutral,False,LOW,0.0,6.1,LOW,LOW,12.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.618, 'audio': 0.382}",False,2026-07-08 13:24:21
neutral,neutral,LOW,Stable emotional condition,0.83,0.446,3,0.724,fear,0.6633333333333333,medium,0.4567,0.0353,0.619,neutral,False,LOW,0.0,6.1,LOW,LOW,12.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.608, 'audio': 0.392}",False,2026-07-08 13:24:21
fear,fear,LOW,Negative emotional state,0.75,0.5,3,0.721,angry,0.6466666666666666,low,0.3833,0.0544,0.694,fear,False,LOW,0.0,18.0,LOW,LOW,12.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.614, 'audio': 0.386}",False,2026-07-08 13:24:23
fear,fear,LOW,Negative emotional state,0.83,0.314,3,0.722,angry,0.6466666666666666,low,0.3833,0.0544,0.694,angry,False,LOW,0.0,18.0,LOW,LOW,12.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.441, 'audio': 0.559}",False,2026-07-08 13:24:24
neutral,neutral,LOW,Negative emotional state,0.83,0.314,3,0.726,angry,0.6466666666666666,low,0.3833,0.0544,0.694,angry,False,LOW,0.0,18.1,LOW,LOW,12.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.432, 'audio': 0.568}",False,2026-07-08 13:24:24
happy,happy,LOW,Stable emotional condition,0.83,0.493,3,0.726,angry,0.6466666666666666,low,0.3833,0.0544,0.694,happy,False,LOW,0.0,3.1,LOW,LOW,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.611, 'audio': 0.389}",False,2026-07-08 13:24:25
fear,fear,LOW,Negative emotional state,0.83,0.415,3,0.723,angry,0.6466666666666666,low,0.3833,0.0544,0.694,fear,False,LOW,0.0,18.1,LOW,LOW,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.569, 'audio': 0.431}",False,2026-07-08 13:24:26
neutral,neutral,LOW,Stable emotional condition,0.83,0.476,3,0.723,angry,0.6466666666666666,low,0.3833,0.0544,0.694,neutral,False,LOW,0.0,6.1,LOW,LOW,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.602, 'audio': 0.398}",False,2026-07-08 13:24:26
neutral,neutral,LOW,Stable emotional condition,0.83,0.477,3,0.725,angry,0.6466666666666666,low,0.3833,0.0544,0.694,neutral,False,LOW,0.0,6.1,LOW,LOW,11.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,"{'visual': 0.603, 'audio': 0.397}",False,2026-07-08 13:24:27
neutral,neutral,LOW,Stable emotional condition,0.83,0.495,3,0.722,angry,0.6466666666666666,low,0.3833,0.0544,0.694,neutral,False,LOW,0.0,6.0,LOW,LOW,11.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.612, 'audio': 0.388}",False,2026-07-08 13:24:28
fear,fear,LOW,Negative emotional state,0.83,0.42,3,0.723,angry,0.6466666666666666,low,0.3833,0.0544,0.694,fear,False,LOW,0.0,18.0,LOW,LOW,11.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.572, 'audio': 0.428}",False,2026-07-08 13:24:29
happy,happy,LOW,Stable emotional condition,0.67,0.505,3,0.721,angry,0.6466666666666666,low,0.3833,0.0544,0.694,happy,False,LOW,0.0,3.0,LOW,LOW,11.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.616, 'audio': 0.384}",False,2026-07-08 13:24:29
fear,fear,LOW,Negative emotional state,0.83,0.631,4,0.725,fear,0.56,medium,0.46,0.0497,0.678,fear,True,LOW,0.0,18.3,LOW,LOW,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,"{'visual': 0.642, 'audio': 0.358}",False,2026-07-08 13:24:30
happy,happy,LOW,Stable emotional condition,0.67,0.491,4,0.709,fear,0.56,medium,0.46,0.0497,0.678,happy,False,LOW,0.0,3.2,LOW,LOW,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,"{'visual': 0.649, 'audio': 0.351}",False,2026-07-08 13:24:31
fear,fear,LOW,Negative emotional state,0.67,0.475,4,0.713,fear,0.56,medium,0.46,0.0497,0.678,fear,True,LOW,0.0,18.3,LOW,LOW,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,"{'visual': 0.494, 'audio': 0.506}",False,2026-07-08 13:24:32
sad,sad,LOW,Stable emotional condition,1.0,0.457,5,0.702,fear,0.56,medium,0.46,0.0497,0.678,sad,False,LOW,0.0,16.7,LOW,LOW,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 0.0}",FLUCTUATING,"{'visual': 0.632, 'audio': 0.368}",False,2026-07-08 13:24:32
sad,sad,LOW,Negative emotional state,0.83,0.266,5,0.711,fear,0.56,medium,0.46,0.0497,0.678,fear,False,LOW,0.0,18.9,LOW,LOW,12.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.2}",FLUCTUATING,"{'visual': 0.484, 'audio': 0.516}",False,2026-07-08 13:24:33
happy,happy,LOW,Stable emotional condition,0.83,0.486,5,0.709,fear,0.56,medium,0.46,0.0497,0.678,happy,False,LOW,0.0,4.2,LOW,LOW,12.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.6}",FLUCTUATING,"{'visual': 0.647, 'audio': 0.353}",False,2026-07-08 13:24:33
happy,happy,LOW,Stable emotional condition,0.83,0.495,5,0.714,fear,0.56,medium,0.46,0.0497,0.678,happy,False,LOW,0.0,4.3,LOW,LOW,12.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.7}",FLUCTUATING,"{'visual': 0.651, 'audio': 0.349}",False,2026-07-08 13:24:34
