emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,neutral,0.0,LOW,0.0,0.0,unknown,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 19:56:16
sad,sad,LOW,Stable emotional condition,1.0,0.95,0,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,15.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 19:56:19
sad,sad,LOW,Stable emotional condition,0.82,0.96,0,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,15.0,LOW,LOW,6.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 19:56:20
sad,sad,LOW,Stable emotional condition,0.82,0.78,0,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,15.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 19:56:20
sad,sad,LOW,Stable emotional condition,0.82,0.95,0,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,15.0,LOW,LOW,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-06 19:56:21
sad,sad,LOW,Stable emotional condition,0.67,0.71,0,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,16.8,LOW,LOW,5.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.0, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,2026-07-06 19:56:21
neutral,neutral,LOW,Stable emotional condition,0.76,0.99,1,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,5.1,LOW,LOW,5.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,2026-07-06 19:56:22
neutral,neutral,LOW,Stable emotional condition,0.76,0.97,1,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,5.2,LOW,LOW,5.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.3, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,2026-07-06 19:56:23
surprise,surprise,LOW,Stable emotional condition,0.83,0.79,1,neutral,0.0,LOW,0.0,0.0,surprise,,LOW,0.0,2.2,LOW,LOW,6.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.6, 'eye_avoidance': 0.0, 'head_movement': 1.9}",STABLE,2026-07-06 19:56:23
neutral,neutral,LOW,Stable emotional condition,0.83,0.686,1,calm,0.37666666666666665,medium,0.4267,0.0001,neutral,False,LOW,0.0,5.2,LOW,LOW,7.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-06 19:56:35
neutral,neutral,LOW,Stable emotional condition,0.83,0.672,1,calm,0.37666666666666665,medium,0.4267,0.0001,neutral,False,LOW,0.0,5.1,LOW,LOW,7.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.0, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-06 19:56:37
neutral,neutral,LOW,Stable emotional condition,0.83,0.264,1,calm,0.37666666666666665,medium,0.4267,0.0001,calm,False,LOW,0.0,2.3,LOW,LOW,8.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-06 19:56:37
sad,sad,LOW,Stable emotional condition,0.83,0.448,1,calm,0.37666666666666665,medium,0.4267,0.0001,sad,False,LOW,0.0,17.5,LOW,LOW,8.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,2026-07-06 19:56:38
sad,sad,LOW,Stable emotional condition,0.75,0.539,1,calm,0.37666666666666665,medium,0.4267,0.0001,sad,False,LOW,0.0,17.5,LOW,LOW,8.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.9, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,2026-07-06 19:56:38
fear,fear,LOW,Negative emotional state,0.83,0.301,1,calm,0.37666666666666665,medium,0.4267,0.0001,fear,False,LOW,0.0,17.5,LOW,LOW,9.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 2.2}",UNSTABLE,2026-07-06 19:56:39
angry,angry,LOW,Negative emotional state,0.83,0.364,1,calm,0.37666666666666665,medium,0.4267,0.0001,angry,False,LOW,0.0,17.6,LOW,LOW,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.0, 'eye_avoidance': 0.0, 'head_movement': 2.2}",UNSTABLE,2026-07-06 19:56:39
sad,sad,LOW,Stable emotional condition,0.83,0.399,1,calm,0.37666666666666665,medium,0.4267,0.0001,sad,False,LOW,0.0,17.5,LOW,LOW,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.4, 'eye_avoidance': 0.0, 'head_movement': 2.2}",UNSTABLE,2026-07-06 19:56:40
sad,sad,LOW,Stable emotional condition,0.83,0.441,1,calm,0.37666666666666665,medium,0.4267,0.0001,sad,False,LOW,0.0,17.5,LOW,LOW,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.9, 'eye_avoidance': 0.0, 'head_movement': 2.2}",UNSTABLE,2026-07-06 19:56:40
