timestamp,emotion,emotion_confidence,temporal_emotion,temporal_confidence,stress_level,cognitive_load,deception_risk,gaze,yaw,pitch,roll,blink_rate,anomaly_risk,fusion_confidence,final_state,cognitive_assessment
12:05:23,calm,41.300014160791875,angry,65.8543050289154,LOW,LOW,LOW,CENTER,0.5820096191581411,6.995793419204899,0.03265241209010712,15.72,LOW,0.56,Negative emotional state,Stable emotional condition
12:05:23,calm,40.79349072323905,angry,66.27307534217834,LOW,LOW,LOW,CENTER,-4.028961257290962,8.453773027673053,-0.01341154212195115,15.72,LOW,0.56,Negative emotional state,Stable emotional condition
12:05:23,calm,29.782032609128926,angry,65.03178477287292,LOW,LOW,LOW,CENTER,-4.55054249000542,7.785752233701472,-0.04930398439628569,15.72,LOW,0.51,Negative emotional state,Stable emotional condition
12:05:23,disgust,26.896829200943316,angry,62.78337836265564,LOW,LOW,LOW,CENTER,-4.277707012947289,7.628289079950341,-0.06833596584473811,15.72,LOW,0.48,Negative emotional state,Stable emotional condition
12:05:23,disgust,27.130696196017208,angry,59.48190689086914,LOW,LOW,LOW,CENTER,-4.889739985786814,7.935994173162278,-0.05220663257313531,15.72,LOW,0.47,Negative emotional state,Stable emotional condition
12:05:23,disgust,26.79682920094331,angry,57.634806632995605,LOW,LOW,LOW,CENTER,-4.965581713845422,8.013072855982777,-0.04974557410014037,15.72,LOW,0.45,Negative emotional state,Stable emotional condition
12:05:23,disgust,26.79682920094331,angry,55.64868450164795,LOW,LOW,LOW,CENTER,-4.966725734225029,7.9445287850002595,-0.05398759055315125,15.72,LOW,0.44,Negative emotional state,Stable emotional condition
12:05:24,disgust,26.896829200943316,angry,53.1135618686676,LOW,LOW,LOW,CENTER,-5.237677697302081,7.480710892684269,-0.04981009989864384,15.72,LOW,0.43,Negative emotional state,Stable emotional condition
12:05:24,disgust,26.87048991522903,angry,50.390470027923584,LOW,LOW,LOW,CENTER,-5.514886376525436,6.822964238670618,-0.04854026881268564,15.72,LOW,0.41,Negative emotional state,Stable emotional condition
12:05:24,disgust,26.79682920094331,angry,47.26238250732422,LOW,LOW,LOW,CENTER,-4.8593775122368355,6.626217563036919,-0.0482738810301305,15.72,LOW,0.39,Negative emotional state,Stable emotional condition
