emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,video_quality,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,modality_weights,quality_warning,timestamp
neutral,0.56,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.285,STABLE,0,0,CENTER,1.0,0,0.509,"{'yaw': -2.15, 'pitch': 1.61, 'roll': -0.06}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,3.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:09
neutral,0.54,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.274,STABLE,0,0,CENTER,1.0,0,0.507,"{'yaw': -6.22, 'pitch': 2.42, 'roll': -0.1}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,3.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:10
happy,0.7,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.356,STABLE,0,0,CENTER,1.0,0,0.508,"{'yaw': -5.22, 'pitch': 3.02, 'roll': -0.06}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,0.0,3.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:10
sad,1.0,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.508,STABLE,0,0,CENTER,1.0,0,0.508,"{'yaw': -4.92, 'pitch': 4.75, 'roll': -0.07}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,15.0,5.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:11
sad,0.98,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.81,0.5,STABLE,1,2.76,CENTER,1.0,0,0.51,"{'yaw': -4.49, 'pitch': 5.3, 'roll': -0.05}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,16.7,7.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.4}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:11
sad,1.0,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.81,0.509,STABLE,1,2.77,CENTER,1.0,0,0.509,"{'yaw': -5.78, 'pitch': 5.25, 'roll': -0.07}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,16.7,7.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.0, 'eye_avoidance': 0.0, 'head_movement': 1.4}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:12
sad,0.99,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.504,STABLE,1,2.67,CENTER,1.0,0,0.509,"{'yaw': -5.85, 'pitch': 4.84, 'roll': -0.06}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,16.7,6.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:12
neutral,1.0,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.509,STABLE,1,2.6,CENTER,1.0,0,0.509,"{'yaw': -6.15, 'pitch': 4.81, 'roll': -0.07}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,4.6,7.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.4, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:13
sad,0.95,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.94,0.484,STABLE,1,2.49,CENTER,1.0,0,0.509,"{'yaw': -5.93, 'pitch': 4.48, 'roll': -0.08}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,16.6,7.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:13
sad,0.98,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.499,FLUCTUATING,1,2.4,CENTER,1.0,0,0.509,"{'yaw': -6.04, 'pitch': 4.57, 'roll': -0.08}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,16.5,7.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:23
