emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,video_quality,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,modality_weights,quality_warning,timestamp
neutral,0.72,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.74,0.366,FLUCTUATING,1,3.71,CENTER,1.0,0,0.508,"{'yaw': 2.25, 'pitch': 2.36, 'roll': -0.05}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,5.2,8.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:25
happy,0.93,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.472,FLUCTUATING,1,5.43,CENTER,1.0,0,0.507,"{'yaw': 7.51, 'pitch': 3.43, 'roll': -0.54}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,3.0,9.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.2, 'eye_avoidance': 0.0, 'head_movement': 2.7}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:25
sad,0.47,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.75,0.238,FLUCTUATING,1,5.98,CENTER,1.0,0,0.507,"{'yaw': 4.96, 'pitch': 1.58, 'roll': -0.14}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,18.3,10.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.8, 'eye_avoidance': 0.0, 'head_movement': 3.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:26
neutral,0.7,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.356,FLUCTUATING,1,6.25,CENTER,1.0,0,0.508,"{'yaw': 4.88, 'pitch': 2.47, 'roll': -0.14}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,6.5,11.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.2, 'eye_avoidance': 0.0, 'head_movement': 3.1}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:26
neutral,0.86,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.438,FLUCTUATING,1,6.16,CENTER,1.0,0,0.509,"{'yaw': 0.7, 'pitch': 2.05, 'roll': -0.06}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,6.4,11.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.6, 'eye_avoidance': 0.0, 'head_movement': 3.1}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:27
sad,0.54,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.274,FLUCTUATING,1,5.97,CENTER,1.0,0,0.508,"{'yaw': -3.27, 'pitch': 3.82, 'roll': -0.07}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,18.3,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.0, 'eye_avoidance': 0.0, 'head_movement': 3.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:27
neutral,0.91,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.74,0.463,FLUCTUATING,1,6.08,CENTER,1.0,0,0.509,"{'yaw': 1.4, 'pitch': 0.4, 'roll': -0.06}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,6.4,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.4, 'eye_avoidance': 0.0, 'head_movement': 3.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:28
neutral,0.64,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.74,0.325,FLUCTUATING,1,6.12,CENTER,1.0,0,0.508,"{'yaw': 1.55, 'pitch': 0.57, 'roll': -0.06}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,6.4,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.8, 'eye_avoidance': 0.0, 'head_movement': 3.1}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:28
happy,0.95,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.483,FLUCTUATING,1,6.07,CENTER,1.0,0,0.508,"{'yaw': 1.04, 'pitch': 1.19, 'roll': -0.09}",sad,0.3234126984126984,medium,0.3633,0.0,0.0,,LOW,0.0,3.4,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.2, 'eye_avoidance': 0.0, 'head_movement': 3.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:28
neutral,0.98,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.498,FLUCTUATING,1,6.08,CENTER,1.0,0,0.508,"{'yaw': 3.14, 'pitch': 1.65, 'roll': -0.13}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,6.4,12.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.5, 'eye_avoidance': 0.0, 'head_movement': 3.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:30
neutral,0.33,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.168,FLUCTUATING,1,6.47,CENTER,1.0,0,0.508,"{'yaw': 7.68, 'pitch': 5.65, 'roll': -0.47}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,6.6,12.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.0, 'eye_avoidance': 0.0, 'head_movement': 3.2}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:30
neutral,0.47,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.239,FLUCTUATING,1,7.1,CENTER,1.0,0,0.508,"{'yaw': 9.94, 'pitch': 7.1, 'roll': -0.65}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,6.9,12.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.6, 'eye_avoidance': 0.0, 'head_movement': 3.5}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:31
neutral,0.37,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.188,FLUCTUATING,1,7.66,CENTER,1.0,0,0.509,"{'yaw': 11.06, 'pitch': 7.33, 'roll': -0.4}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,7.2,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.2, 'eye_avoidance': 0.0, 'head_movement': 3.8}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:31
neutral,0.57,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.29,FLUCTUATING,1,7.53,CENTER,1.0,0,0.508,"{'yaw': 2.56, 'pitch': 2.38, 'roll': -0.02}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,7.1,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 3.8}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:31
neutral,0.8,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.407,FLUCTUATING,1,7.44,CENTER,1.0,0,0.509,"{'yaw': 2.15, 'pitch': 1.32, 'roll': -0.09}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,7.1,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 3.7}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:32
neutral,0.99,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.504,STABLE,1,7.39,CENTER,1.0,0,0.509,"{'yaw': 2.11, 'pitch': 0.53, 'roll': -0.09}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,7.0,11.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 3.7}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:32
neutral,0.99,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.504,STABLE,1,7.33,CENTER,1.0,0,0.509,"{'yaw': 2.18, 'pitch': 0.59, 'roll': -0.1}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,7.0,11.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.9, 'eye_avoidance': 0.0, 'head_movement': 3.7}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:33
neutral,0.99,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.504,STABLE,1,7.25,CENTER,1.0,0,0.509,"{'yaw': 2.32, 'pitch': 0.98, 'roll': -0.1}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,7.0,10.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 3.6}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:33
neutral,0.98,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.5,STABLE,1,7.17,CENTER,1.0,0,0.51,"{'yaw': 2.28, 'pitch': 1.08, 'roll': -0.1}",sad,0.32666666666666666,medium,0.39,0.0,0.0,,LOW,0.0,6.9,10.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.4, 'eye_avoidance': 0.0, 'head_movement': 3.6}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:34
neutral,0.99,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.505,STABLE,1,7.1,CENTER,1.0,0,0.51,"{'yaw': 2.26, 'pitch': 0.89, 'roll': -0.1}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,6.9,10.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.5}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:35
neutral,0.92,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.468,STABLE,1,7.1,CENTER,1.0,0,0.509,"{'yaw': 2.81, 'pitch': 1.28, 'roll': -0.11}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,6.9,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.5}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:35
neutral,0.76,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.387,STABLE,1,6.96,CENTER,1.0,0,0.509,"{'yaw': 1.67, 'pitch': 1.08, 'roll': -0.08}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,6.8,9.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 3.5}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:36
angry,0.56,angry,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.284,STABLE,2,6.94,CENTER,1.0,0,0.507,"{'yaw': -4.6, 'pitch': 4.08, 'roll': -0.12}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,19.1,9.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 3.5}",Negative emotional state,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:36
neutral,1.0,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.509,STABLE,2,7.09,CENTER,1.0,0,0.509,"{'yaw': -7.29, 'pitch': 5.72, 'roll': -0.06}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,7.2,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.5}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:37
fear,0.77,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.39,FLUCTUATING,2,7.17,CENTER,1.0,0,0.507,"{'yaw': -6.05, 'pitch': 5.63, 'roll': -0.07}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,19.3,9.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 3.6}",Negative emotional state,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:37
fear,0.83,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.422,FLUCTUATING,2,7.17,CENTER,1.0,0,0.509,"{'yaw': -4.83, 'pitch': 6.12, 'roll': -0.04}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,19.3,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 3.6}",Negative emotional state,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:38
sad,0.99,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.503,FLUCTUATING,2,7.15,CENTER,1.0,0,0.508,"{'yaw': -5.19, 'pitch': 5.19, 'roll': -0.06}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,19.2,10.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 3.6}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:38
sad,0.78,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.396,FLUCTUATING,2,7.04,CENTER,1.0,0,0.508,"{'yaw': -4.07, 'pitch': 3.69, 'roll': -0.09}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,19.2,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.5}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:39
sad,0.98,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.498,FLUCTUATING,2,6.96,CENTER,1.0,0,0.508,"{'yaw': -4.21, 'pitch': 4.09, 'roll': -0.08}",sad,0.33,medium,0.3967,0.0,0.0,,LOW,0.0,19.1,9.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.2, 'eye_avoidance': 0.0, 'head_movement': 3.5}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:39
sad,0.51,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.26,FLUCTUATING,2,6.82,CENTER,1.0,0,0.509,"{'yaw': -3.01, 'pitch': 2.74, 'roll': -0.08}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,19.1,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 3.4}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:40
neutral,1.0,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.51,FLUCTUATING,3,6.81,CENTER,1.0,0,0.51,"{'yaw': 1.1, 'pitch': 2.49, 'roll': -0.07}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,7.4,9.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 3.4}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:41
sad,0.65,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.331,FLUCTUATING,3,6.68,CENTER,1.0,0,0.509,"{'yaw': 4.6, 'pitch': 3.01, 'roll': -0.07}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,19.3,9.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.7, 'eye_avoidance': 0.0, 'head_movement': 3.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:42
sad,0.59,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.3,FLUCTUATING,3,6.67,CENTER,1.0,0,0.509,"{'yaw': 4.93, 'pitch': 2.88, 'roll': -0.08}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,19.3,8.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.2, 'eye_avoidance': 0.0, 'head_movement': 3.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:42
sad,0.7,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.356,FLUCTUATING,4,6.66,CENTER,1.0,0,0.509,"{'yaw': 4.79, 'pitch': 2.79, 'roll': -0.09}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,19.7,8.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.2, 'eye_avoidance': 0.0, 'head_movement': 3.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:43
sad,0.66,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.77,0.336,FLUCTUATING,4,6.7,CENTER,1.0,0,0.509,"{'yaw': 4.42, 'pitch': 2.73, 'roll': -0.08}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,19.7,8.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.7, 'eye_avoidance': 0.0, 'head_movement': 3.4}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:43
sad,0.4,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.77,0.204,STABLE,4,6.65,CENTER,1.0,0,0.509,"{'yaw': 4.24, 'pitch': 2.64, 'roll': -0.1}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,19.7,8.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.1, 'eye_avoidance': 0.0, 'head_movement': 3.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:44
neutral,0.52,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.77,0.265,STABLE,4,6.62,CENTER,1.0,0,0.509,"{'yaw': 4.16, 'pitch': 2.63, 'roll': -0.1}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,7.6,8.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.7, 'eye_avoidance': 0.0, 'head_movement': 3.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:44
neutral,0.98,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.499,STABLE,4,6.58,CENTER,1.0,0,0.509,"{'yaw': 0.05, 'pitch': 2.32, 'roll': -0.07}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,7.6,7.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.1, 'eye_avoidance': 0.0, 'head_movement': 3.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:45
neutral,0.91,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.463,STABLE,4,6.6,CENTER,1.0,0,0.509,"{'yaw': -1.89, 'pitch': 2.41, 'roll': -0.08}",sad,0.34,medium,0.3667,0.0,0.0,,LOW,0.0,7.6,7.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.6, 'eye_avoidance': 0.0, 'head_movement': 3.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:45
neutral,0.94,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.478,STABLE,4,6.61,CENTER,1.0,0,0.509,"{'yaw': -2.09, 'pitch': 2.38, 'roll': -0.08}",sad,0.33,medium,0.4233,0.0,0.0,,LOW,0.0,7.6,7.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.6, 'eye_avoidance': 0.0, 'head_movement': 3.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 12:52:46
