timestamp,emotion,emotion_confidence,temporal_emotion,temporal_confidence,stress_level,cognitive_load,deception_risk,gaze,yaw,pitch,roll,blink_rate,anomaly_risk,fusion_confidence,final_state,cognitive_assessment
22:30:08,calm,27.953227391093122,disgust,71.06105089187622,LOW,MEDIUM,LOW,CENTER,-6.054772069864832,10.399659676525166,-0.056183589210330356,0.0,LOW,0.54,Stable emotional condition,Negative emotional trajectory
22:30:08,fearful,28.247527524376682,disgust,70.48751711845398,LOW,LOW,LOW,CENTER,-5.195365251859696,10.773748422364825,-0.054715858484311194,0.0,LOW,0.54,Stable emotional condition,Negative emotional trajectory
22:30:08,calm,27.953227391093122,disgust,69.81139779090881,LOW,LOW,LOW,CENTER,-4.0434000588601755,8.24839953153667,-0.012635388456827564,0.0,LOW,0.53,Stable emotional condition,Negative emotional trajectory
22:30:08,calm,31.22617059426079,disgust,69.23227310180664,LOW,LOW,LOW,CENTER,-4.397156043644542,8.961251996306945,-0.024770502884794324,0.0,LOW,0.54,Stable emotional condition,Negative emotional trajectory
22:30:08,calm,29.44965544274563,disgust,68.86153817176819,LOW,LOW,LOW,CENTER,-4.163469627055026,10.339028609619174,-0.025308132110564003,0.0,LOW,0.53,Stable emotional condition,Negative emotional trajectory
22:30:08,calm,29.80259661921622,disgust,69.14969682693481,LOW,LOW,LOW,CENTER,-5.965174988818923,11.383231888072123,-0.0880618345154855,0.0,LOW,0.53,Stable emotional condition,Negative emotional trajectory
22:30:08,fearful,34.53091810809613,disgust,70.38162350654602,LOW,LOW,LOW,CENTER,-10.153411292108757,14.585151817448,-0.14313240762294194,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:09,fearful,34.59545592322218,disgust,70.01922130584717,LOW,LOW,LOW,CENTER,-8.845142096290232,11.690872625205047,-0.1524175957989679,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:09,fearful,35.86994579093961,disgust,70.37047743797302,LOW,LOW,LOW,CENTER,-10.422534149865392,15.172803206776496,-0.12121270506384443,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:09,fearful,34.70329906047708,disgust,70.3778326511383,LOW,LOW,LOW,CENTER,-16.47788038291886,17.773231218457457,-0.19505354801829222,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:09,fearful,36.61237003336385,disgust,69.27799582481384,LOW,LOW,LOW,CENTER,-11.713214538219658,11.945340205533336,-0.13301168243113162,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:09,fearful,35.708041029034845,disgust,68.26541423797607,LOW,LOW,LOW,CENTER,-5.318964105038512,9.894211379090438,-0.01887691794194689,0.0,LOW,0.55,Stable emotional condition,Negative emotional trajectory
22:30:10,calm,29.467837260927453,disgust,67.66624450683594,LOW,LOW,LOW,CENTER,-0.5084647212153726,10.209703213595137,0.054434572302012554,0.0,LOW,0.52,Stable emotional condition,Negative emotional trajectory
